x: 0, y: 0Vx: 0, Vy: 0time0
x: 1.48207, y: 0.883956Vx: -0.189372, Vy: 0.189372time2.8
x: 1.48013, y: 0.8859Vx: -0.199372, Vy: 0.199372time2.81
x: 1.47808, y: 0.887943Vx: -0.209372, Vy: 0.209372time2.82
x: 1.47594, y: 0.890087Vx: -0.219372, Vy: 0.219372time2.83
x: 1.47369, y: 0.892331Vx: -0.229372, Vy: 0.229372time2.84
x: 1.47135, y: 0.894675Vx: -0.239372, Vy: 0.239372time2.85
x: 1.46891, y: 0.897118Vx: -0.249372, Vy: 0.249372time2.86
x: 1.46636, y: 0.899662Vx: -0.259372, Vy: 0.259372time2.87
x: 1.46372, y: 0.902306Vx: -0.269372, Vy: 0.269372time2.88
x: 1.46098, y: 0.905049Vx: -0.279372, Vy: 0.279372time2.89
x: 1.45813, y: 0.907893Vx: -0.289372, Vy: 0.289372time2.9
x: 1.45519, y: 0.910837Vx: -0.299372, Vy: 0.299372time2.91
x: 1.45214, y: 0.913875Vx: -0.309372, Vy: 0.30777time2.92
x: 1.449, y: 0.916991Vx: -0.319372, Vy: 0.315443time2.93
x: 1.44576, y: 0.920184Vx: -0.329372, Vy: 0.323117time2.94
x: 1.44241, y: 0.923454Vx: -0.339372, Vy: 0.33079time2.95
x: 1.43897, y: 0.9268Vx: -0.349372, Vy: 0.338463time2.96
x: 1.43543, y: 0.930223Vx: -0.359372, Vy: 0.346137time2.97
x: 1.43178, y: 0.933721Vx: -0.369372, Vy: 0.352713time2.98
x: 1.42804, y: 0.937269Vx: -0.379372, Vy: 0.356855time2.99
x: 1.42419, y: 0.940858Vx: -0.389372, Vy: 0.360997time3
x: 1.42025, y: 0.944489Vx: -0.399372, Vy: 0.36514time3.01
x: 1.41621, y: 0.948161Vx: -0.409372, Vy: 0.369282time3.02
x: 1.41206, y: 0.951874Vx: -0.419372, Vy: 0.373424time3.03
x: 1.40782, y: 0.955629Vx: -0.429372, Vy: 0.377566time3.04
x: 1.40348, y: 0.959426Vx: -0.439372, Vy: 0.381708time3.05
x: 1.39903, y: 0.963252Vx: -0.449372, Vy: 0.383355time3.06
x: 1.39449, y: 0.967092Vx: -0.459372, Vy: 0.384671time3.07
x: 1.38984, y: 0.970946Vx: -0.469372, Vy: 0.385988time3.08
x: 1.3851, y: 0.974812Vx: -0.479372, Vy: 0.387304time3.09
x: 1.38026, y: 0.978692Vx: -0.489372, Vy: 0.388621time3.1
x: 1.37531, y: 0.982585Vx: -0.499372, Vy: 0.389937time3.11
x: 1.37027, y: 0.986491Vx: -0.509372, Vy: 0.391254time3.12
x: 1.36513, y: 0.99041Vx: -0.519372, Vy: 0.39257time3.13
x: 1.35988, y: 0.994337Vx: -0.529372, Vy: 0.392686time3.14
x: 1.35454, y: 0.998263Vx: -0.539372, Vy: 0.392686time3.15
x: 1.34909, y: 1.00219Vx: -0.549372, Vy: 0.392686time3.16
x: 1.34355, y: 1.00612Vx: -0.559372, Vy: 0.392686time3.17
x: 1.33791, y: 1.01004Vx: -0.569372, Vy: 0.392686time3.18
x: 1.33216, y: 1.01397Vx: -0.579372, Vy: 0.392686time3.19
x: 1.32632, y: 1.0179Vx: -0.589372, Vy: 0.392686time3.2
x: 1.32038, y: 1.02182Vx: -0.599372, Vy: 0.392686time3.21
x: 1.31433, y: 1.02575Vx: -0.609372, Vy: 0.392686time3.22
x: 1.30819, y: 1.02968Vx: -0.619372, Vy: 0.392686time3.23
x: 1.30195, y: 1.03361Vx: -0.629372, Vy: 0.392686time3.24
x: 1.2956, y: 1.03753Vx: -0.639372, Vy: 0.392686time3.25
x: 1.28916, y: 1.04146Vx: -0.649372, Vy: 0.392686time3.26
x: 1.28261, y: 1.04539Vx: -0.659372, Vy: 0.392686time3.27
x: 1.27597, y: 1.04931Vx: -0.669372, Vy: 0.392686time3.28
x: 1.26923, y: 1.05324Vx: -0.679372, Vy: 0.392686time3.29
x: 1.26238, y: 1.05717Vx: -0.689372, Vy: 0.392686time3.3
x: 1.25544, y: 1.06109Vx: -0.699372, Vy: 0.392686time3.31
x: 1.2484, y: 1.06502Vx: -0.709372, Vy: 0.392686time3.32
x: 1.24125, y: 1.06895Vx: -0.719372, Vy: 0.392686time3.33
x: 1.23401, y: 1.07287Vx: -0.729372, Vy: 0.392686time3.34
x: 1.22666, y: 1.0768Vx: -0.739372, Vy: 0.392686time3.35
x: 1.21922, y: 1.08073Vx: -0.749372, Vy: 0.392686time3.36
x: 1.21168, y: 1.08465Vx: -0.759372, Vy: 0.392686time3.37
x: 1.20403, y: 1.08858Vx: -0.769313, Vy: 0.392686time3.38
x: 1.1963, y: 1.09251Vx: -0.776986, Vy: 0.392686time3.39
x: 1.18849, y: 1.09643Vx: -0.784659, Vy: 0.392686time3.4
x: 1.18061, y: 1.10036Vx: -0.792332, Vy: 0.392686time3.41
x: 1.17265, y: 1.10429Vx: -0.800006, Vy: 0.392686time3.42
x: 1.16461, y: 1.10822Vx: -0.807679, Vy: 0.392686time3.43
x: 1.15649, y: 1.11214Vx: -0.815352, Vy: 0.392686time3.44
x: 1.14831, y: 1.11607Vx: -0.820738, Vy: 0.392686time3.45
x: 1.14008, y: 1.12Vx: -0.824881, Vy: 0.392686time3.46
x: 1.13181, y: 1.12392Vx: -0.829023, Vy: 0.392686time3.47
x: 1.1235, y: 1.12785Vx: -0.833165, Vy: 0.392686time3.48
x: 1.11515, y: 1.13178Vx: -0.837307, Vy: 0.392686time3.49
x: 1.10675, y: 1.1357Vx: -0.841449, Vy: 0.392686time3.5
x: 1.09832, y: 1.13963Vx: -0.845591, Vy: 0.392686time3.51
x: 1.08984, y: 1.14356Vx: -0.849111, Vy: 0.392686time3.52
x: 1.08135, y: 1.14748Vx: -0.850428, Vy: 0.392686time3.53
x: 1.07283, y: 1.15141Vx: -0.851744, Vy: 0.392686time3.54
x: 1.06431, y: 1.15534Vx: -0.853061, Vy: 0.392686time3.55
x: 1.05577, y: 1.15926Vx: -0.854377, Vy: 0.392686time3.56
x: 1.04722, y: 1.16319Vx: -0.855694, Vy: 0.392686time3.57
